ZipCode,City,State,County,CityType,Latitude,Longitude
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
638,CIALES,PR,CIALES,U,18.299662,-66.498579
638,CIALES,PR,CIALES,U,18.299662,-66.498579
638,CIALES,PR,CIALES,U,18.299662,-66.498579
638,CIALES,PR,CIALES,P,18.299662,-66.498579
638,CIALES,PR,CIALES,U,18.299662,-66.498579
641,UTUADO,PR,UTUADO,U,18.279721,-66.689096
641,UTUADO,PR,UTUADO,U,18.279721,-66.689096
641,UTUADO,PR,UTUADO,U,18.279721,-66.689096
641,UTUADO,PR,UTUADO,U,18.279721,-66.689096
641,UTUADO,PR,UTUADO,U,18.279721,-66.689096
641,UTUADO,PR,UTUADO,U,18.279721,-66.689096
641,UTUADO,PR,UTUADO,U,18.279721,-66.689096
641,UTUADO,PR,UTUADO,P,18.279721,-66.689096
641,UTUADO,PR,UTUADO,U,18.279721,-66.689096
641,UTUADO,PR,UTUADO,U,18.279721,-66.689096
641,UTUADO,PR,UTUADO,U,18.279721,-66.689096
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
646,DORADO,PR,DORADO,U,18.459098,-66.272418
